# scenario=step-free
t,iq_ref,iq,id,vd,vq,omega,theta_e,duty_a,duty_b,duty_c
0.00859999,0.5,0.494612,0.00110519,-0.133625,3.46131,13.1471,0.529531,0.278995,0.721005,0.297645
0.00864999,0.5,0.494612,0.00110539,-0.134599,3.46605,13.2368,0.536789,0.277827,0.722173,0.300222
0.00869999,0.5,0.494612,0.00110558,-0.135572,3.47078,13.3266,0.544096,0.276663,0.723337,0.302837
0.00874999,0.5,0.494613,0.00110579,-0.136546,3.47552,13.4164,0.551453,0.275504,0.724496,0.30549
0.00879999,0.5,0.494613,0.00110597,-0.13752,3.48026,13.5061,0.558859,0.27435,0.72565,0.308181
0.00884999,0.5,0.494613,0.00110616,-0.138493,3.48499,13.5959,0.566315,0.273201,0.726799,0.310911
0.00889999,0.5,0.494614,0.00110635,-0.139467,3.48973,13.6856,0.573819,0.272058,0.727942,0.313679
0.00894999,0.5,0.494614,0.00110655,-0.140442,3.49447,13.7754,0.581374,0.27092,0.72908,0.316486
0.00899999,0.5,0.494614,0.00110675,-0.141416,3.4992,13.8651,0.588977,0.26979,0.73021,0.319331
0.00904999,0.5,0.494615,0.00110694,-0.142391,3.50394,13.9549,0.59663,0.268666,0.731334,0.322216
0.00909999,0.5,0.494615,0.00110714,-0.143366,3.50867,14.0446,0.604333,0.267549,0.732451,0.325139
0.00914999,0.5,0.494615,0.00110732,-0.144341,3.51341,14.1343,0.612084,0.266439,0.733561,0.328102
0.00919999,0.5,0.494616,0.00110752,-0.145316,3.51814,14.2241,0.619885,0.265337,0.734663,0.331104
0.00924999,0.5,0.494616,0.00110771,-0.146291,3.52288,14.3138,0.627736,0.264243,0.735757,0.334146
0.00929999,0.5,0.494616,0.0011079,-0.147267,3.52761,14.4035,0.635635,0.263158,0.736842,0.337227
0.00934999,0.5,0.494617,0.00110809,-0.148242,3.53235,14.4932,0.643584,0.262082,0.737918,0.340347
0.00939999,0.5,0.494617,0.00110831,-0.149218,3.53708,14.5829,0.651583,0.261015,0.738985,0.343508
0.00944999,0.5,0.494617,0.00110849,-0.150194,3.54181,14.6726,0.659631,0.259958,0.740042,0.346708
0.00949999,0.5,0.494618,0.00110867,-0.15117,3.54655,14.7623,0.667728,0.25891,0.74109,0.349948
0.00954999,0.5,0.494618,0.00110886,-0.152146,3.55128,14.852,0.675874,0.257873,0.742127,0.353229
0.00959999,0.5,0.494618,0.00110905,-0.153123,3.55601,14.9417,0.68407,0.256847,0.743153,0.356549
0.00964999,0.5,0.494618,0.00110925,-0.1541,3.56075,15.0314,0.692315,0.255832,0.744168,0.359909
0.00969999,0.5,0.494619,0.00110944,-0.155076,3.56548,15.1211,0.700609,0.254829,0.745171,0.36331
0.00974999,0.5,0.494619,0.00110963,-0.156054,3.57021,15.2108,0.708953,0.253838,0.746162,0.366751
0.00979999,0.5,0.494619,0.00110983,-0.157031,3.57494,15.3005,0.717346,0.252859,0.747141,0.370232
0.00984999,0.5,0.49462,0.00111,-0.158008,3.57967,15.3901,0.725789,0.251893,0.748107,0.373753
0.00989999,0.5,0.49462,0.00111019,-0.158986,3.5844,15.4798,0.73428,0.25094,0.74906,0.377315
0.00994999,0.5,0.49462,0.00111037,-0.159963,3.58913,15.5695,0.742821,0.250001,0.749999,0.380917
0.00999999,0.5,0.494621,0.00111059,-0.160941,3.59387,15.6591,0.751412,0.249076,0.750924,0.384558
0.01005,0.5,0.494621,0.00111079,-0.161919,3.5986,15.7488,0.760051,0.248166,0.751834,0.388241
