# scenario=calib
t,state,theta_e_cmd,v_d,theta_m_enc,mech_accum,id,iq
0.146999,1,0,1.96065,1.23792,0,0.349023,0.0163514
0.147999,1,0,1.97398,1.23792,0,0.351405,0.0163804
0.148999,1,0,1.98732,1.23792,0,0.353787,0.0164081
0.149999,1,0,2.00065,1.23792,0,0.356168,0.0164346
0.150998,1,0,2.01398,1.23792,0,0.35855,0.0164598
0.151998,1,0,2.02731,1.23792,0,0.360933,0.0164838
0.152998,1,0,2.04064,1.23792,0,0.363315,0.0165065
0.153998,1,0,2.05397,1.23792,0,0.365697,0.0165279
0.154998,1,0,2.0673,1.23792,0,0.368079,0.0165482
0.155998,1,0,2.08064,1.23792,0,0.370461,0.0165672
0.156998,1,0,2.09397,1.23792,0,0.372843,0.0165849
0.157997,1,0,2.1073,1.23792,0,0.375226,0.0166014
0.158997,1,0,2.12063,1.23792,0,0.377608,0.0166168
0.159997,1,0,2.13396,1.23792,0,0.37999,0.016631
0.160997,1,0,2.14729,1.23792,0,0.382373,0.0166438
0.161997,1,0,2.16063,1.23792,0,0.384755,0.0166554
0.162997,1,0,2.17396,1.23792,0,0.387138,0.0166659
0.163997,1,0,2.18729,1.23792,0,0.38952,0.0166752
0.164997,1,0,2.20062,1.23792,0,0.391903,0.0166835
0.165996,1,0,2.21395,1.23792,0,0.394285,0.0166905
0.166996,1,0,2.22728,1.23792,0,0.396668,0.0166962
0.167996,1,0,2.24061,1.23792,0,0.39905,0.0167008
0.168996,1,0,2.25395,1.23792,0,0.401433,0.0167043
0.169996,1,0,2.26728,1.23792,0,0.403816,0.0167066
0.170996,1,0,2.28061,1.23792,0,0.406198,0.0167078
0.171996,1,0,2.29394,1.23792,0,0.408581,0.0167078
0.172995,1,0,2.30727,1.23792,0,0.410964,0.0167067
0.173995,1,0,2.3206,1.23792,0,0.413346,0.0167045
0.174995,1,0,2.33394,1.23792,0,0.415729,0.0167012
0.175995,1,0,2.34727,1.23792,0,0.418112,0.0166967
0.176995,1,0,2.3606,1.23792,0,0.420495,0.016691
0.177995,1,0,2.37393,1.23792,0,0.422878,0.0166842
0.178995,1,0,2.38726,1.23792,0,0.42526,0.0166763
0.179995,1,0,2.40059,1.23792,0,0.427643,0.0166673
0.180994,1,0,2.41393,1.23792,0,0.430026,0.0166573
0.181994,1,0,2.42726,1.23792,0,0.432409,0.0166462
0.182994,1,0,2.44059,1.23792,0,0.434792,0.016634
0.183994,1,0,2.45392,1.23792,0,0.437175,0.0166208
0.184994,1,0,2.46725,1.23792,0,0.439558,0.0166065
0.185994,1,0,2.48058,1.23792,0,0.441941,0.0165911
0.186994,1,0,2.49391,1.23792,0,0.444324,0.0165748
0.187993,1,0,2.50725,1.23792,0,0.446707,0.0165574
0.188993,1,0,2.52058,1.23792,0,0.44909,0.016539
0.189993,1,0,2.53391,1.23792,0,0.451473,0.0165195
0.190993,1,0,2.54724,1.23792,0,0.453856,0.0164991
0.191993,1,0,2.56057,1.23792,0,0.456239,0.0164777
0.192993,1,0,2.5739,1.23792,0,0.458622,0.0164553
0.193993,1,0,2.58724,1.23792,0,0.461005,0.0164319
0.194993,1,0,2.60057,1.23792,0,0.463388,0.0164076
0.195992,1,0,2.6139,1.23792,0,0.465771,0.0163823
0.196992,1,0,2.62723,1.23792,0,0.468154,0.016356
0.197992,1,0,2.64056,1.23792,0,0.470537,0.0163288
0.198992,1,0,2.65389,1.23792,0,0.47292,0.0163007
0.199992,1,0,2.66723,1.23639,0,0.475303,0.0162717
0.200992,1,0,2.68056,1.23639,0,0.477686,0.0162417
0.201992,1,0,2.69389,1.23639,0,0.48007,0.0162109
0.202992,1,0,2.70722,1.23639,0,0.482453,0.0161791
