# scenario=haptic-detents
t,theta,omega,theta_finger,tau_cmd,tau_ext,iq_ref,iq
0.27799,0.182544,0.827174,0.436666,-0.0738449,0.0762364,-0.932385,-0.930328
0.27899,0.182544,0.609922,0.438237,-0.0736276,0.0767077,-0.929641,-0.930466
0.27999,0.184078,0.876349,0.439808,-0.0745076,0.0767189,-0.940753,-0.935341
0.28099,0.184078,0.646181,0.441379,-0.0742775,0.0771902,-0.937847,-0.938591
0.281991,0.185612,0.92989,0.44295,-0.0751748,0.0772013,-0.949176,-0.936383
0.282991,0.185612,0.68566,0.444521,-0.0749305,0.0776726,-0.946093,-0.946664
0.283991,0.185612,0.505576,0.446092,-0.0747505,0.0781439,-0.943819,-0.944641
0.284991,0.187146,0.750458,0.447663,-0.0756089,0.078155,-0.954658,-0.954114
0.285991,0.187146,0.553355,0.449234,-0.0754118,0.0786264,-0.95217,-0.952986
0.286991,0.18868,0.809418,0.450805,-0.0762815,0.0786375,-0.96315,-0.961059
0.287992,0.18868,0.59683,0.452376,-0.0760689,0.0791088,-0.960466,-0.961263
0.288992,0.190214,0.893501,0.453947,-0.0769792,0.0791199,-0.971959,-0.959126
0.289992,0.190214,0.658828,0.455518,-0.0767445,0.0795912,-0.968996,-0.969539
0.290992,0.190214,0.485791,0.457089,-0.0765715,0.0800626,-0.966811,-0.967615
0.291992,0.191748,0.73587,0.45866,-0.0774351,0.0800737,-0.977716,-0.977162
0.292992,0.191748,0.542598,0.460231,-0.0772419,0.080545,-0.975276,-0.976087
0.293993,0.193282,0.826707,0.461803,-0.0781396,0.0805561,-0.98661,-0.98115
0.294993,0.193282,0.609578,0.463374,-0.0779224,0.0810274,-0.983869,-0.984581
0.295993,0.193282,0.449476,0.464945,-0.0777623,0.0814988,-0.981847,-0.98264
0.296993,0.194816,0.686766,0.466516,-0.0786132,0.0815099,-0.992591,-0.992785
0.297993,0.194816,0.506391,0.468087,-0.0784328,0.0819812,-0.990314,-0.991139
0.298993,0.19635,0.75106,0.469658,-0.0792911,0.0819923,-1.00115,-1.00063
0.299994,0.19635,0.553798,0.471229,-0.0790938,0.0824636,-0.99866,-0.9995
0.300994,0.197884,0.809745,0.4728,-0.0799634,0.0824748,-1.00964,-1.00757
0.301994,0.197884,0.597071,0.474371,-0.0797507,0.0829461,-1.00695,-1.00777
0.302994,0.199418,0.866873,0.475942,-0.0806341,0.0829572,-1.01811,-1.01269
