# scenario=step
t,iq_ref,iq,id,vd,vq,omega,theta_e,duty_a,duty_b,duty_c
0.00485,0.5,0.499983,2.90312e-08,-1.36384e-06,2.79998,0.000140757,2.77835e-06,0.499999,0.702071,0.297929
0.0049,0.5,0.499985,3.05922e-08,-1.40004e-06,2.79999,0.000142737,2.85636e-06,0.499999,0.702072,0.297928
0.00495,0.5,0.499986,2.16574e-08,-1.43578e-06,2.79999,0.000144716,2.93547e-06,0.499999,0.702072,0.297928
0.005,0.5,0.499988,2.44214e-08,-1.40431e-06,2.79999,0.000146696,3.01566e-06,0.499999,0.702072,0.297928
0.00505,0.5,0.499989,2.69693e-08,-1.44142e-06,2.79999,0.000148675,3.09694e-06,0.499999,0.702072,0.297928
0.0051,0.5,0.49999,2.32336e-08,-1.47955e-06,2.79999,0.000150655,3.17931e-06,0.499999,0.702072,0.297928
0.00514999,0.5,0.499992,3.06793e-08,-1.47886e-06,2.8,0.000152634,3.26277e-06,0.499999,0.702072,0.297928
0.00519999,0.5,0.499992,2.51107e-08,-1.54795e-06,2.8,0.000154614,3.34732e-06,0.499999,0.702072,0.297928
0.00524999,0.5,0.499993,3.5266e-08,-1.53855e-06,2.8,0.000156593,3.43295e-06,0.499999,0.702073,0.297927
0.00529999,0.5,0.499994,3.83497e-08,-1.627e-06,2.8,0.000158573,3.51968e-06,0.499999,0.702073,0.297927
0.00534999,0.5,0.499995,3.34076e-08,-1.67817e-06,2.8,0.000160552,3.60749e-06,0.499999,0.702073,0.297927
0.00539999,0.5,0.499995,2.37427e-08,-1.67961e-06,2.8,0.000162532,3.69639e-06,0.499999,0.702073,0.297927
0.00544999,0.5,0.499996,2.04155e-08,-1.64584e-06,2.8,0.000164511,3.78639e-06,0.499999,0.702073,0.297927
0.00549999,0.5,0.499996,2.46447e-08,-1.64499e-06,2.8,0.000166491,3.87747e-06,0.499998,0.702073,0.297927
0.00554999,0.5,0.499997,3.12943e-08,-1.69058e-06,2.8,0.00016847,3.96963e-06,0.499998,0.702073,0.297927
0.00559999,0.5,0.499997,4.0092e-08,-1.75571e-06,2.80001,0.00017045,4.06289e-06,0.499998,0.702073,0.297927
0.00564999,0.5,0.499997,4.2568e-08,-1.84073e-06,2.80001,0.000172429,4.15724e-06,0.499998,0.702073,0.297927
0.00569999,0.5,0.499998,3.14814e-08,-1.89218e-06,2.80001,0.000174409,4.25267e-06,0.499998,0.702073,0.297927
0.00574999,0.5,0.499998,1.91758e-08,-1.85717e-06,2.80001,0.000176388,4.3492e-06,0.499998,0.702073,0.297927
0.00579999,0.5,0.499998,1.62033e-08,-1.80446e-06,2.80001,0.000178368,4.44681e-06,0.499998,0.702073,0.297927
0.00584999,0.5,0.499998,1.30514e-08,-1.8019e-06,2.80001,0.000180347,4.54551e-06,0.499998,0.702073,0.297927
0.00589999,0.5,0.499999,9.82522e-09,-1.79556e-06,2.80001,0.000182327,4.6453e-06,0.499998,0.702073,0.297927
0.00594999,0.5,0.499999,1.69108e-08,-1.78596e-06,2.80001,0.000184306,4.74618e-06,0.499998,0.702073,0.297927
0.00599999,0.5,0.499999,2.25946e-08,-1.8409e-06,2.80001,0.000186286,4.84815e-06,0.499998,0.702073,0.297927
0.00604999,0.5,0.499999,2.09812e-08,-1.89292e-06,2.80001,0.000188265,4.9512e-06,0.499998,0.702073,0.297927
0.00609999,0.5,0.499999,1.93861e-08,-1.90225e-06,2.80001,0.000190245,5.05535e-06,0.499998,0.702073,0.297927
0.00614999,0.5,0.499999,2.40638e-08,-1.91028e-06,2.80001,0.000192224,5.16058e-06,0.499998,0.702073,0.297927
