# scenario=haptic-endstops
t,theta,omega,theta_finger,tau_cmd,tau_ext,iq_ref,iq
0.130001,0.679555,5.30134,0.706082,-0.00530134,0.00795801,-0.0669361,-0.0702123
0.131001,0.685691,5.49681,0.711316,-0.00549681,0.00768734,-0.0694041,-0.0690323
0.132001,0.690293,5.23646,0.716545,-0.00523646,0.00787556,-0.066117,-0.0693372
0.133001,0.696429,5.44897,0.72177,-0.00544897,0.0076022,-0.0688002,-0.068347
0.134001,0.701031,5.20119,0.72699,-0.00520119,0.00778765,-0.0656716,-0.068826
0.135,0.707167,5.44819,0.732206,-0.00544819,0.00751156,-0.0687902,-0.0667887
0.136,0.711769,5.22294,0.737417,-0.00522294,0.00769426,-0.0659462,-0.0687082
0.137,0.717905,5.46422,0.742623,-0.00546422,0.00741538,-0.0689927,-0.0669812
0.138,0.722507,5.26157,0.747825,-0.00526157,0.00759528,-0.066434,-0.0659158
0.139,0.727109,5.06301,0.753021,-0.00506301,0.00777378,-0.0639269,-0.0668827
0.14,0.733245,5.3463,0.758214,-0.0053463,0.00749064,-0.0675037,-0.0653461
0.141,0.737847,5.17462,0.763401,-0.00517462,0.00766627,-0.0653361,-0.0646983
0.142,0.742449,5.04803,0.768584,-0.00504803,0.00784044,-0.0637377,-0.0629987
0.142999,0.747051,4.90555,0.773761,-0.00490555,0.00801317,-0.0619388,-0.0646962
0.143999,0.753187,5.2302,0.778934,-0.0052302,0.00772423,-0.0660378,-0.063739
0.144999,0.757789,5.08901,0.784102,-0.00508901,0.00789399,-0.0642552,-0.0635213
0.145999,0.762391,4.93577,0.789265,-0.00493577,0.00806229,-0.0623203,-0.0651268
0.146999,0.766993,4.82278,0.794423,-0.00482278,0.00822909,-0.0608937,-0.0636723
0.147999,0.773128,5.16916,0.799576,-0.00516916,0.00793417,-0.0652672,-0.0629144
0.148999,0.77773,5.04401,0.804724,-0.00504401,0.00809797,-0.0636869,-0.062916
0.149999,0.782332,4.90259,0.809866,-0.00490259,0.00826022,-0.0619014,-0.0646873
0.150998,0.786934,4.77458,0.815004,-0.00477458,0.00842094,-0.0602851,-0.0637475
