# scenario=haptic-curves
theta,free,spring,damped,detents12,detents_smooth,endstops
-2.05774,0,0.1,0,-0.0146608,-0.0160524,0.1
-2.0546,0,0.1,0,-0.0159174,-0.017007,0.1
-2.05146,0,0.1,0,-0.0171741,-0.0178652,0.1
-2.04832,0,0.1,0,-0.0184307,-0.0186217,0.1
-2.04518,0,0.1,0,-0.0196873,-0.0192724,0.1
-2.04204,0,0.1,0,-0.0209439,-0.0198136,0.1
-2.03889,0,0.1,0,-0.0222006,-0.0202423,0.1
-2.03575,0,0.1,0,-0.0234572,-0.020556,0.1
-2.03261,0,0.1,0,-0.0247139,-0.0207528,0.1
-2.02947,0,0.1,0,-0.0259706,-0.0208317,0.1
-2.02633,0,0.1,0,-0.0272271,-0.0207922,0.1
-2.02319,0,0.1,0,-0.0284838,-0.0206346,0.1
-2.02004,0,0.1,0,-0.0297404,-0.0203597,0.1
-2.0169,0,0.1,0,-0.030997,-0.0199692,0.1
-2.01376,0,0.1,0,-0.0322536,-0.0194652,0.1
-2.01062,0,0.1,0,-0.0335103,-0.0188506,0.1
-2.00748,0,0.1,0,-0.034767,-0.0181288,0.1
-2.00434,0,0.1,0,-0.0360236,-0.0173041,0.1
-2.00119,0,0.1,0,-0.0372803,-0.016381,0.1
-1.99805,0,0.1,0,-0.0385369,-0.0153649,0.1
-1.99491,0,0.1,0,-0.0397935,-0.0142615,0.1
-1.99177,0,0.1,0,-0.0410501,-0.0130769,0.1
-1.98863,0,0.1,0,-0.0423068,-0.0118181,0.1
-1.98549,0,0.1,0,-0.0435634,-0.0104922,0.1
-1.98234,0,0.1,0,-0.0448201,-0.00910657,0.1
-1.9792,0,0.1,0,-0.0460767,-0.00766927,0.1
-1.97606,0,0.1,0,-0.0473333,-0.00618846,0.1
-1.97292,0,0.1,0,-0.0485899,-0.00467234,0.1
-1.96978,0,0.1,0,-0.0498466,-0.00312975,0.1
-1.96664,0,0.1,0,-0.0511032,-0.00156937,0.1
-1.9635,0,0.1,0,-0.0523599,-8.19572e-08,0.1
-1.96035,0,0.1,0,-0.0536165,0.00156929,0.1
-1.95721,0,0.1,0,-0.0548731,0.00312967,0.1
-1.95407,0,0.1,0,-0.0561298,0.00467226,0.1
-1.95093,0,0.1,0,-0.0573864,0.00618838,0.1
-1.94779,0,0.1,0,-0.0586431,0.00766919,0.1
-1.94465,0,0.1,0,-0.0598997,0.00910657,0.1
-1.9415,0,0.1,0,-0.0611564,0.0104922,0.1
-1.93836,0,0.1,0,-0.062413,0.0118181,0.1
-1.93522,0,0.1,0,-0.0636696,0.0130769,0.1
-1.93208,0,0.1,0,-0.0649262,0.0142613,0.1
-1.92894,0,0.1,0,-0.0661829,0.0153648,0.1
-1.9258,0,0.1,0,-0.0674395,0.016381,0.1
-1.92265,0,0.1,0,-0.0686962,0.0173041,0.1
-1.91951,0,0.1,0,-0.0699528,0.0181288,0.1
-1.91637,0,0.1,0,-0.0712094,0.0188505,0.1
-1.91323,0,0.1,0,-0.0724661,0.0194652,0.1
-1.91009,0,0.1,0,-0.0737227,0.0199692,0.1
-1.90695,0,0.1,0,-0.0749794,0.0203597,0.1
-1.90381,0,0.1,0,-0.076236,0.0206346,0.1
-1.90066,0,0.1,0,-0.0774926,0.0207922,0.1
-1.89752,0,0.1,0,-0.0787493,0.0208317,0.1
-1.89438,0,0.1,0,-0.0800059,0.0207528,0.1
-1.89124,0,0.1,0,-0.0812625,0.020556,0.1
-1.8881,0,0.1,0,-0.0825192,0.0202423,0.1
-1.88496,0,0.1,0,-0.0837758,0.0198137,0.1
-1.88181,0,0.1,0,-0.0850324,0.0192725,0.1
-1.87867,0,0.1,0,-0.0862891,0.0186217,0.1
-1.87553,0,0.1,0,-0.0875457,0.0178652,0.1
-1.87239,0,0.1,0,-0.0888023,0.0170071,0.1
-1.86925,0,0.1,0,-0.090059,0.0160524,0.1
-1.86611,0,0.1,0,-0.0913156,0.0150064,0.1
-1.86296,0,0.1,0,-0.0925723,0.0138753,0.1
-1.85982,0,0.1,0,-0.0938289,0.0126652,0.1
-1.85668,0,0.1,0,-0.0950856,0.0113832,0.1
-1.85354,0,0.1,0,-0.0963422,0.0100366,0.1
-1.8504,0,0.1,0,-0.0975988,0.00863282,0.1
-1.84726,0,0.1,0,-0.0988555,0.00718007,0.1
-1.84412,0,0.1,0,-0.1,0.00568652,0.1
-1.84097,0,0.1,0,-0.1,0.00416066,0.1
-1.83783,0,0.1,0,-0.1,0.00261116,0.1
-1.83469,0,0.1,0,-0.1,0.00104683,0.1
-1.83155,0,0.1,0,0.1,-0.000523536,0.1
-1.82841,0,0.1,0,0.1,-0.00209085,0.1
-1.82527,0,0.1,0,0.1,-0.00364628,0.1
-1.82212,0,0.1,0,0.1,-0.00518099,0.1
-1.81898,0,0.1,0,0.0992743,-0.00668634,0.1
-1.81584,0,0.1,0,0.0980177,-0.00815361,0.1
-1.8127,0,0.1,0,0.096761,-0.00957456,0.1
-1.80956,0,0.1,0,0.0955044,-0.0109412,0.1
-1.80642,0,0.1,0,0.0942478,-0.0122455,0.1
-1.80327,0,0.1,0,0.0929912,-0.0134803,0.1
-1.80013,0,0.1,0,0.0917345,-0.0146385,0.1
-1.79699,0,0.1,0,0.0904779,-0.0157136,0.1
