# scenario=haptic-spring
t,theta,omega,theta_finger,tau_cmd,tau_ext,iq_ref,iq
0.188993,0.673419,3.39397,0.839198,-0.0471931,0.0497334,-0.595873,-0.59067
0.189993,0.676487,3.30685,0.843099,-0.0472029,0.0499834,-0.595997,-0.597894
0.190993,0.679555,3.24262,0.846992,-0.0472586,0.0502309,-0.596699,-0.59863
0.191993,0.682623,3.17292,0.850876,-0.0473032,0.0504759,-0.597263,-0.599799
0.192993,0.685691,3.09632,0.854752,-0.0473341,0.0507183,-0.597653,-0.603364
0.193993,0.690293,3.49325,0.85862,-0.0484041,0.050498,-0.611163,-0.604187
0.194993,0.693361,3.43059,0.862479,-0.0484629,0.0507354,-0.611905,-0.605155
0.195992,0.696429,3.38439,0.86633,-0.0485545,0.0509703,-0.613062,-0.606202
0.196992,0.699497,3.3266,0.870172,-0.048623,0.0512025,-0.613927,-0.608509
0.197992,0.702565,3.25717,0.874006,-0.0486683,0.0514322,-0.614498,-0.616229
0.198992,0.705633,3.20599,0.877831,-0.04875,0.0516593,-0.61553,-0.617332
0.199992,0.708701,3.16824,0.881647,-0.0488585,0.0518838,-0.616901,-0.618609
0.200992,0.711769,3.11808,0.885455,-0.0489423,0.0521057,-0.617958,-0.620313
0.201992,0.714837,3.05588,0.889254,-0.049002,0.052325,-0.618712,-0.624282
0.202992,0.717905,3.01001,0.893044,-0.0490943,0.0525416,-0.619878,-0.625435
0.203991,0.722507,3.42962,0.896825,-0.0502096,0.0522954,-0.63396,-0.626781
0.204991,0.725575,3.38367,0.900597,-0.0503018,0.0525067,-0.635124,-0.62821
0.205991,0.728643,3.34979,0.904361,-0.0504182,0.0527154,-0.636593,-0.629601
0.206991,0.731711,3.30108,0.908116,-0.0505048,0.0529214,-0.637687,-0.632161
0.207991,0.734779,3.26517,0.911861,-0.0506171,0.0531247,-0.639104,-0.633537
0.208991,0.737847,3.23869,0.915598,-0.0507482,0.0533254,-0.64076,-0.63512
0.209991,0.740915,3.19235,0.919326,-0.0508396,0.0535232,-0.641914,-0.643426
0.21099,0.743983,3.15819,0.923044,-0.0509553,0.0537184,-0.643375,-0.645
0.21199,0.747051,3.133,0.926754,-0.051089,0.0539108,-0.645064,-0.646627
0.21299,0.750119,3.11442,0.930454,-0.051236,0.0541006,-0.646919,-0.648428
0.21399,0.753187,3.10073,0.934145,-0.0513927,0.0542875,-0.648897,-0.650365
0.21499,0.756255,3.09063,0.937827,-0.0515565,0.0544717,-0.650966,-0.652404
0.21599,0.759323,3.08318,0.9415,-0.0517257,0.0546531,-0.653102,-0.654518
0.21699,0.762391,3.05536,0.945163,-0.0518542,0.0548317,-0.654724,-0.656847
0.21799,0.765459,3.03485,0.948817,-0.0519972,0.0550076,-0.65653,-0.658628
0.218989,0.768526,3.01973,0.952462,-0.052151,0.0551806,-0.658473,-0.660526
0.219989,0.771594,3.00858,0.956097,-0.0523128,0.0553508,-0.660515,-0.662533
0.220989,0.774662,3.00035,0.959723,-0.0524805,0.0555181,-0.662632,-0.664623
0.221989,0.77773,2.99429,0.963339,-0.0526524,0.0556826,-0.664803,-0.666773
0.222989,0.780798,2.98982,0.966946,-0.0528275,0.0558443,-0.667014,-0.668967
0.223989,0.783866,2.98652,0.970544,-0.053005,0.0560032,-0.669255,-0.671195
0.224989,0.786934,2.98409,0.974131,-0.0531842,0.0561591,-0.671518,-0.673447
0.225988,0.790002,3.00463,0.977709,-0.0534094,0.0563121,-0.674361,-0.675555
0.226988,0.79307,3.01977,0.981278,-0.0536238,0.0564623,-0.677068,-0.678264
0.227988,0.796138,3.03093,0.984837,-0.0538302,0.0566096,-0.679674,-0.680896
0.228988,0.799206,3.03917,0.988386,-0.0540307,0.0567539,-0.682206,-0.683447
0.229988,0.802274,3.07204,0.991925,-0.0542805,0.0568953,-0.68536,-0.679398
0.230988,0.805342,3.09628,0.995455,-0.0545131,0.0570338,-0.688297,-0.682192
0.231988,0.80841,3.11416,0.998975,-0.0547329,0.0571693,-0.691072,-0.685001
0.232988,0.811478,3.12734,1.00248,-0.0549434,0.0573019,-0.693729,-0.68769
0.233987,0.814546,3.16078,1.00598,-0.0551943,0.0574315,-0.696898,-0.689343
0.234987,0.817614,3.18545,1.00947,-0.0554277,0.0575582,-0.699845,-0.692292
