# scenario=load
t,iq_ref,iq,tau_e,tau_load,omega,theta_m
0.01805,0.4,0.395825,0.0313495,0,24.9946,0.223142
0.0181,0.4,0.395826,0.0313495,0,25.0642,0.224393
0.01815,0.4,0.395826,0.0313495,0,25.1339,0.225648
0.0182,0.4,0.395826,0.0313495,0,25.2035,0.226907
0.01825,0.4,0.395826,0.0313496,0,25.2731,0.228169
0.0183,0.4,0.395826,0.0313496,0,25.3427,0.229435
0.01835,0.4,0.395827,0.0313496,0,25.4123,0.230704
0.0184,0.4,0.395827,0.0313496,0,25.4819,0.231976
0.01845,0.4,0.395827,0.0313496,0,25.5515,0.233252
0.0185,0.4,0.395827,0.0313496,0,25.6211,0.234532
0.01855,0.4,0.395828,0.0313497,0,25.6907,0.235815
0.0186,0.4,0.395828,0.0313497,0,25.7603,0.237101
0.01865,0.4,0.395828,0.0313497,0,25.8299,0.238391
0.0187,0.4,0.395828,0.0313497,0,25.8994,0.239684
0.01875,0.4,0.395829,0.0313497,0,25.969,0.240981
0.0188,0.4,0.395829,0.0313497,0,26.0386,0.242282
0.01885,0.4,0.395829,0.0313497,0,26.1082,0.243586
0.0189,0.4,0.395829,0.0313498,0,26.1777,0.244893
0.01895,0.4,0.395829,0.0313498,0,26.2473,0.246204
0.019,0.4,0.39583,0.0313498,0,26.3169,0.247518
0.01905,0.4,0.39583,0.0313498,0,26.3864,0.248836
0.0191,0.4,0.39583,0.0313498,0,26.456,0.250157
0.01915,0.4,0.39583,0.0313498,0,26.5255,0.251482
0.0192,0.4,0.395831,0.0313499,0,26.5951,0.25281
0.01925,0.4,0.395831,0.0313499,0,26.6646,0.254141
0.0193,0.4,0.395831,0.0313499,0,26.7341,0.255477
0.01935,0.4,0.395831,0.0313499,0,26.8037,0.256815
0.0194,0.4,0.395832,0.0313499,0,26.8732,0.258157
0.01945,0.4,0.395832,0.03135,0,26.9427,0.259503
0.0195,0.4,0.395832,0.03135,0,27.0123,0.260852
0.01955,0.4,0.395832,0.03135,0,27.0818,0.262204
0.0196,0.4,0.395833,0.03135,0,27.1513,0.26356
0.01965,0.4,0.395833,0.03135,0,27.2208,0.26492
0.0197,0.4,0.395833,0.03135,0,27.2903,0.266283
0.01975,0.4,0.395833,0.0313501,0,27.3598,0.267649
0.0198,0.4,0.395833,0.0313501,0,27.4294,0.269019
0.01985,0.4,0.395834,0.0313501,0,27.4989,0.270393
0.0199001,0.4,0.395834,0.0313501,0,27.5684,0.271769
0.0199501,0.4,0.395834,0.0313501,0,27.6379,0.27315
0.0200001,0.4,0.395834,0.0313501,0,27.7073,0.274534
0.0200501,0.4,0.395835,0.0313502,0,27.7768,0.275921
0.0201001,0.4,0.395835,0.0313502,0,27.8463,0.277312
0.0201501,0.4,0.395835,0.0313502,0,27.9158,0.278706
0.0202001,0.4,0.395835,0.0313502,0,27.9853,0.280104
0.0202501,0.4,0.395836,0.0313502,0,28.0548,0.281505
0.0203001,0.4,0.395836,0.0313502,0,28.1242,0.282909
0.0203501,0.4,0.395836,0.0313503,0,28.1937,0.284317
0.0204001,0.4,0.395836,0.0313503,0,28.2632,0.285729
0.0204501,0.4,0.395836,0.0313503,0,28.3326,0.287144
0.0205001,0.4,0.395837,0.0313503,0,28.4021,0.288563
0.0205501,0.4,0.395837,0.0313503,0,28.4715,0.289985
0.0206001,0.4,0.395837,0.0313503,0,28.541,0.29141
0.0206501,0.4,0.395837,0.0313504,0,28.6104,0.292839
0.0207001,0.4,0.395838,0.0313504,0,28.6799,0.294272
0.0207501,0.4,0.395838,0.0313504,0,28.7493,0.295708
0.0208001,0.4,0.395838,0.0313504,0,28.8188,0.297147
0.0208501,0.4,0.395838,0.0313504,0,28.8882,0.29859
0.0209001,0.4,0.395838,0.0313504,0,28.9576,0.300036
0.0209501,0.4,0.395839,0.0313504,0,29.027,0.301486
0.0210001,0.4,0.395839,0.0313505,0,29.0965,0.302939
0.0210501,0.4,0.395839,0.0313505,0,29.1659,0.304396
0.0211001,0.4,0.395839,0.0313505,0,29.2353,0.305856
